0;1
2021-04-29 13:27:48+00:00;"3/3
Also, it will reduce wastage rate &amp; loss during transportation.

@narendramodi @PMOIndia @drharshvardhan @MoHFW_INDIA @adarpoonawalla @anandmahindra @Infosys @RNTata2000 @TataCompanies @GoogleIndia @sundarpichai @IBM 

#BlockChainForCovid #COVID19 #IndiaFightsCorona"
2021-04-29 13:25:34+00:00;"@Infosys_GSTN

Please help!
I am trying to attach the Auditor's DSC in  GSTR 9C for the FY 19-20. While attaching the DSC, I am getting following error message 
""Please check the server connection 1: (object event). I've already tried all the suggestions mentioned in GST Portal."
2021-04-29 13:21:39+00:00;@PMOIndia @mygovindia @_DigitalIndia @DataPortalIndia @satyanadella @sundarpichai @TCS_News @Infosys suggestion to build robust cowin website, request all BIGTechGiant to support Indian govt to build it. @RNTata2000 @Infosys_nmurthy @Wipro @WIONews @palkisu
2021-04-29 13:17:27+00:00;@TVMohandasPai @Infosys_nmurthy how you selected this person? And allowed him to amass wealth through your ethical endeavour?
2021-04-29 13:10:34+00:00;"In a new report from @Infosys and the @MilkenInstitute it was found that ""although AI, blockchain, cloud computing, and 5G are already disrupting many if not all industries...researchers expect these jobs to increase job opportunities overall.""

READ MORE from @TechRepublic"
2021-04-29 13:09:52+00:00;@cgstdelhizone @Infosys_GSTN @gsthelpline @GST_Council @InGSTPortal @allaboutGST @cbic_india It's current status can you plz tell us how many days required for remove revocation or need for payment for activation. It's all ready cross last date of return filling. https://t.co/6qiHw7M8Ux
2021-04-29 13:06:34+00:00;.@Infosys co-founder Kris Gopalakrishnan will be sharing his insights at the inaugural #NTUsg GAIN #DistinguishedSpeakerSeries on lessons learnt from the #COVID19 pandemic. Catch the livestream on 4 May, 4.30pm at https://t.co/H87IenEjlX. To register: https://t.co/CkSxN4JyBm https://t.co/qqthxZzNgC
2021-04-29 13:05:19+00:00;"@sandeepnailwal @SolidumCapital 1. Adoption on rise as L2
#Aave
#curve
#sushi
#instadapp etc.
2. Infrastructure in place
#link
#push
#graph
3. Enterprise strategy 
#infosys
4. Dex
#quickswap
5. Scalability solution aggreggator 
#optimistic,Zk rollup coming up
6.Interoperability

You guys are on something huge!"
2021-04-29 13:00:01+00:00;"Know more about the Infosys Fast Commerce Solution powered by #cloud native commerce tools. It’s designed for B2C &amp; B2B commerce business models to provide hyper personalized experiences that are simple yet intuitive for end consumers. https://t.co/w7bHJbHeuN #LiveEnterprise https://t.co/Qj3y0GwtUM"
2021-04-29 12:57:32+00:00;@CAChirag @cbic_india @Infosys_GSTN @nsitharaman We opted out our 60 clients.
2021-04-29 12:56:19+00:00;@CAChirag @cbic_india @Infosys_GSTN @nsitharaman Automatic in!!! All automatic opted out now!!!
2021-04-29 12:55:58+00:00;Whether TAN based GSTIN  can be uploaded in GSTR 1 and preparing E invoice @Infosys_GSTN @cbic_india @gstindia
2021-04-29 12:55:31+00:00;Campuses, cities, and industrial and business parks to improve #energymanagement and reduce #carbonemissions, thanks to @bp_plc and @Infosys partnership. https://t.co/lqPQE2JMx6.
2021-04-29 12:47:15+00:00;"@CAChirag @cbic_india @Infosys_GSTN @nsitharaman None in QRMP now.
QRMP superseded all GST Complications."
2021-04-29 12:34:40+00:00;@CAChirag @cbic_india @Infosys_GSTN @nsitharaman My 100% clients are out of QRMP Now. Not even a single.
2021-04-29 12:30:00+00:00;"“It’s one thing to have a big and unconventional idea— the challenge is to then make everybody else believe what you are seeing.”

@imravikumars, president @Infosys, in interview with @AdamBBryant for our Art of Leading series

#Leadership

https://t.co/vSUSH8zjxC"
2021-04-29 12:23:17+00:00;"US tech companies record earnings Augur well for Indian IT companies earnings forward outlook
#indianIT  #tcs  #infosys #hcltech #wipro"
2021-04-29 12:21:12+00:00;"Infosys Recruitment Drive 2021 :

Apply Now ❗

https://t.co/tZViwGmG5u

#JobSeeker #jobalerts https://t.co/Jcxxn3Pmdm"
2021-04-29 12:12:15+00:00;@Infosys_GSTN please solve my query
2021-04-29 12:10:24+00:00;Any hopes of extending GSTR4 Composition Dealers Form Non revenue generating ..just a compliance Purchase Details copy paste option too not available due date 30.04.2021 @Infosys_GSTN @nsitharaman @cbic_india @theicai @CAclubindia @taxguru_in @gauri_chadha
2021-04-29 12:09:17+00:00;Know how enterprises can deal with lack of visibility, high cost of securing, and risks of adopting new technology when fighting #cybercrimes. https://t.co/S8V5Vv0mOd #CyberSecurity #fortifycyber https://t.co/eTZZ7uLRXN
2021-04-29 12:03:39+00:00;@Infosys_GSTN Please Extend GSTR-4 due date of F.Y 2020-21
